Name	Date of Birth	Food Preference	Season	Height	Weight	Last_Modified
Sunit Singh	14/12/1990	Non Veg	Winter	189	74	2018
Viraj Singh	30/05/1998	Non Veg	Autumn	186	70	2017
Kanchan Singh	22/9/1996	Non Veg	NaN	155	NaN	2020
Freddie	22/4/2020	Non Veg	Spring	27	3	<2017
Jane Doe	19/03/1994	Veg	Summer	NaN	49	2019
Lucy	25/4/2018	Non Veg	Summer	32	4.5	<2017
Prasanna	8/9/1997	Veg	Spring	157	NaN	2018
Tyler Durden	1/6/1987	NaN	Winter	185	75	2019
Marla Singer	08/11/1989	Non Veg	Autumn	159	51	2020
Anthony Laeddis	28/8/1934	Veg	Spring	167	65	2019
John Smith	21/10/1984	Veg	Spring	186	75	2019
